"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the flask charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","91907","test_with_database[postgresql/status-postgresql-k8s-14/edge-None-True]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_database","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","54635","test_prometheus_integration[fastapi_app-8080-/metrics]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_prometheus","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","52899","test_workload_tracing[go_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: Flask is deployed with async enabled rock. Change gunicorn worker class.
    act: Do 15 requests that would take 2 seconds each.
    assert: All 15 requests should be served in under 3 seconds.
    ","7947","test_async_workers","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_workers","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","84038","test_non_root_loki_integration[ExpressJS non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_loki","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with prometheus charm.
    assert: prometheus metrics endpoint for prometheus is active and prometheus has active scrape
        targets.
    ","62709","test_prometheus_integration[expressjs_app-8080-/metrics]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_prometheus","",""
"
    arrange: set up the test Juju model and deploy the workload charm.
    act: integrate with ingress and hydra.
    assert: the workload charm uses the Kratos charm as the idp.
    ","","test_oauth_integrations[spring_boot_app-oauth2/authorization/oidc]","tests.integration.integrations","","unknown","","","test_oauth","",""
"
    arrange: build and deploy the flask charm without ingress. Get the service ip
        address.
    act: request env variables through the service ip address.
    assert: the request should success and the env variable FLASK_BASE_URL
        should point to the service.
    ","539","test_port_without_ingress","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_charm","",""
"
    arrange: Deploy the application.
    act: Set the non-optional config options 1 by 1 and check.
    assert: At first both options should be in status message,
        when one set the charm should still be in blocked state
        with the message showing which option is missing.
        When both set charm should be in active state.
    ","40929","test_non_optional[expressjs]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_config","",""
"
    arrange: build and deploy the flask charm, and change Flask app configurations.
    act: none.
    assert: Flask application should receive the application configuration correctly.
    ","185","test_app_config[int]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_flask_configs","",""
"
    arrange: build and deploy the django charm, and change the django related configuration.
    act: send request to the django application to retrieve the corresponding settings.
    assert: settings in django application correctly updated according to the charm configuration.
    ","501","test_django_charm_config[allowed-host]","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","42770","test_s3_integration[flask_app-8000]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_s3","",""
"
    arrange: The app and rabbitmq deployed
    act: Integrate the app with rabbitmq
    assert: Assert that RabbitMQ works correctly
    ","62124","test_rabbitmq_server_integration[flask_app-8000-rabbitmq_server_app]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_rabbitmq","",""
"
    arrange: build and deploy the non-root charm.
    act: deploy the database and relate it to the charm.
    assert: requesting the charm should return a correct response indicate
        the database migration script has been executed and only executed once.
    ","94425","test_non_root_db_migration[ExpressJS non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_db_migration","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","66184","test_non_root_loki_integration[Go non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_loki","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","57234","test_grafana_integration[expressjs_app-ExpressJS Operator]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_grafana","",""
"
    arrange: after 12-Factor charm has been deployed.
    act: establish relations established with grafana charm.
    assert: grafana 12-Factor dashboard can be found.
    ","45550","test_grafana_integration[go_app-Go Operator]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_grafana","",""
"
    arrange: Deploy Tempo cluster, app to test and postgres if required.
    act: Send 5 requests to the app.
    assert: Tempo should have tracing info about the app.
    ","73888","test_workload_tracing[expressjs_app-8080]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_tracing","",""
"
    arrange: build and deploy the paas charm.
    act: deploy the MySQL database and relate it to the charm.
    assert: requesting the charm should return a correct response
    ","82840","test_with_mysql[flask_app-8000-mysql/status]","tests.integration.integrations","2026-07-18","passed","2026-07-18","","test_mysql","",""
"
    arrange: build and deploy the django charm.
    act: create a superuser using the create-superuser action.
    assert: a superuser is created by the charm.
    ","6300","test_django_create_superuser","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: Flask and redis deployed and integrated.
    act: Scale the app to the desired number of units.
    assert: There should be only one scheduler and as many workers as units. That will
            be checked because the scheduler is constantly sending tasks with its hostname
            to the workers, and the workers will put its own hostname and the schedulers
            hostname in Redis sets. Those sets are checked through the Flask app,
            that queries Redis.
    ","18533","test_workers_and_scheduler_services[1]","tests.integration.flask","2026-07-18","passed","2026-07-18","","test_workers","",""
"
    arrange: build and deploy the go charm with postgresql integration.
    act: send a request to an endpoint that uses the table created by the migration script.
    assert: the go application should return a correct response.
    ","243","test_migration","tests.integration.go","2026-07-18","passed","2026-07-18","","test_go","",""
"
    arrange: after non-root charm has been deployed.
    act: establish relations established with loki charm.
    assert: loki joins relation successfully, logs are being output to container and to files for
        loki to scrape.
    ","70759","test_non_root_loki_integration[FastAPI non-root]","tests.integration.general","2026-07-18","passed","2026-07-18","","test_non_root_loki","",""
"
    arrange: build and deploy the django charm, and change the gunicorn timeout configuration.
    act: send long-running requests to the django application managed by the django charm.
    assert: the gunicorn should restart the worker if the request duration exceeds the timeout.
    ","9960","test_django_webserver_timeout[timeout=5]","tests.integration.django","2026-07-18","passed","2026-07-18","","test_django","",""
"
    arrange: build and deploy the fastapi charm.
    act: send a request to the fastapi application managed by the fastapi charm.
    assert: the fastapi application should return a correct response.
    ","288","test_fastapi_is_up","tests.integration.fastapi","2026-07-18","passed","2026-07-18","","test_fastapi","",""
